20,ovf,Fri May 31 16:27:00 2019
46,14371946,ovf,Fri May 31 16:27:00 2019
47,14371946,ovf,Fri May 31 16:27:00 2019
48,14372360,ovf,Fri May 31 16:27:00 2019
49,14372360,ovf,Fri May 31 16:27:00 2019
946,ovf,Fri May 31 16:27:00 2019
43,14371532,ovf,Fri May 31 16:27:00 2019
44,14371532,ovf,Fri May 31 16:27:00 2019
45,14371120,ovf,Fri May 31 16:27:00 2019
46,14371946,ovf,Fri May 31 16:27:00 2019
47,14371946,ovf,Fri May 31 16:27:00 2019
48,14372360,ovf,Fri May 31 16:27:00 2019
49,14372360,ovf,Fri May 31 16:27:00 2019
1,ovf,ovf,Fri May 31 16:27:04 2019
2,14378558,ovf,Fri May 31 16:27:05 2019
3,14374012,ovf,Fri May 31 16:27:06 2019
4,14373598,ovf,Fri May 31 16:27:07 2019
5,14373598,ovf,Fri May 31 16:27:08 2019
6,14373186,ovf,Fri May 31 16:27:09 2019
7,14374426,ovf,Fri May 31 16:27:10 2019
8,14375252,ovf,Fri May 31 16:27:11 2019
9,14374426,ovf,Fri May 31 16:27:12 2019
10,14374012,ovf,Fri May 31 16:27:13 2019
11,14373598,ovf,Fri May 31 16:27:14 2019
12,14383522,ovf,Fri May 31 16:27:15 2019
13,14384350,ovf,Fri May 31 16:27:16 2019
14,14383522,ovf,Fri May 31 16:27:17 2019
15,14383522,ovf,Fri May 31 16:27:18 2019
16,14383522,ovf,Fri May 31 16:27:19 2019
17,14383522,ovf,Fri May 31 16:27:20 2019
18,14383108,ovf,Fri May 31 16:27:21 2019
19,14383522,ovf,Fri May 31 16:27:22 2019
20,14383522,ovf,Fri May 31 16:27:23 2019
21,14383936,ovf,Fri May 31 16:27:24 2019
22,14372772,ovf,Fri May 31 16:27:25 2019
23,14372772,ovf,Fri May 31 16:27:26 2019
24,14372772,ovf,Fri May 31 16:27:27 2019
25,14372772,ovf,Fri May 31 16:27:28 2019
26,14372360,ovf,Fri May 31 16:27:29 2019
27,14371946,ovf,Fri May 31 16:27:30 2019
28,14372772,ovf,Fri May 31 16:27:31 2019
29,14373598,ovf,Fri May 31 16:27:32 2019
30,14374426,ovf,Fri May 31 16:27:33 2019
